2014-10-27 18:06:13,781 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:06:22,759 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:06:22,764 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:06:22,766 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:06:22,767 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:06:56,667 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:06:56,676 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:06:56,677 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:06:56,678 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:07:09,971 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:07:09,972 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:07:09,974 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:07:09,975 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:08:02,024 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:08:02,029 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:08:02,032 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:08:02,033 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:15:21,058 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:21,062 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:15:21,064 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:21,064 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:15:50,667 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:50,672 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:15:50,674 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:50,675 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:15:56,120 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:56,121 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:15:56,122 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:15:56,123 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:16:40,507 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:16:40,512 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:16:40,514 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:16:40,518 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:16:55,328 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:16:55,332 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:16:55,337 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:16:55,338 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/test/resources
2014-10-27 18:45:20,061 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-10-27 18:45:20,065 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/Nic/Documents/Development/Websites/room4you/ese2014-team3/room4you/src/main/resources
2014-10-27 18:45:20,066 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
